Timestamp;br2;ec;hum;ph;tp
2025-01-25 11:00:00;78.82881249999994;0.5312500000000042;46.796833333333375;6.829999999999956;20.244625
2025-01-25 13:00:00;56.23339583333332;0.5312500000000042;45.856583333333354;6.829999999999956;20.591812500000003
2025-01-25 15:00:00;1201.2753958333242;0.5312500000000042;47.43120833333333;6.829999999999956;20.597416666666675
2025-01-25 17:00:00;39.40505241090149;0.3608490566037761;46.74911949685534;4.639245283018847;20.753836477987445
2025-01-25 19:00:00;39.57232067510562;0;44.378902953586504;0;20.830864978902977
2025-01-25 21:00:00;39.61794979079498;0;43.82897489539748;0;20.824602510460256
2025-01-25 23:00:00;39.68054166666651;0;41.74149999999997;0;20.802062499999998
2025-01-26 01:00:00;39.7474476987448;0;39.64014644351465;0;20.746736401673626
2025-01-26 03:00:00;39.80295597484293;0;38.82725366876311;0;20.592473794549278
2025-01-26 05:00:00;67.01217948717961;0;41.62694805194807;0;19.838744588744582
2025-01-26 07:00:00;925.4606779661017;0;46.948580508474556;0;19.64887711864408
2025-01-26 09:00:00;25.38479830148619;0;51.04607218683654;0;18.726135881104025
2025-01-26 11:00:00;46.99321888412014;0;49.87008602150541;0;19.25847311827957
2025-01-26 13:00:00;16.611722689075634;0.4290966386554607;52.41592436974786;5.091953781512615;19.865756302521003
2025-01-26 15:00:00;1.6024117647058835;0.6874999999999978;55.017540322580615;8.18358870967742;19.823790322580642
2025-01-26 17:00:00;0;0.6874999999999989;53.57886363636364;8.346439393939391;19.82628787878787
2025-01-26 19:00:00;0;0.6721082089552238;50.703880597014866;8.244029850746275;19.8305223880597
2025-01-26 21:00:00;0;0.670582706766917;50.54977443609024;8.21218045112782;19.941503759398493
2025-01-26 23:00:00;0;0.6737546992481196;49.24616541353385;8.391353383458647;19.90481203007518
2025-01-27 01:00:00;0;0.6721117424242421;49.80643939393939;8.267878787878793;19.914696969696976
2025-01-27 03:00:00;0;0.6669776119402987;49.62738805970149;8.148731343283584;19.95216417910449
2025-01-27 05:00:00;25.09333333333333;0.6737328506097613;50.56643292682926;8.388597560975589;20.30762195121952
2025-01-27 07:00:00;60.00724999999988;0.6437825520833343;48.53414583333332;8.26600000000003;21.726479166666657
2025-01-27 09:00:00;2533.478416666667;0.604817708333328;47.10254166666668;7.988375000000003;22.27560416666667
2025-01-27 11:00:00;11463.333016877645;0.6175171413502155;46.90732067510554;8.353523206751053;24.112953586497884
2025-01-27 13:00:00;11411.524778947381;0.6171710526315733;49.8081052631579;8.501810526315781;24.92374736842107
2025-01-27 15:00:00;11399.861178947394;0.5908881578947366;50.52953684210525;8.244421052631584;24.90437894736844
2025-01-27 17:00:00;0;0.6075858778625952;54.66221374045799;8.444656488549615;22.94854961832061
2025-01-27 19:00:00;0;0.6401442307692301;54.11430769230771;8.45938461538462;22.11692307692308
2025-01-27 21:00:00;0;0.6607824427480924;53.783129770992346;8.10847328244275;21.96290076335879
2025-01-27 23:00:00;0;0.6768092105263145;53.92233082706766;8.197368421052627;21.693082706766926
2025-01-28 01:00:00;0;0.6876183712121201;53.26666666666668;8.516212121212126;21.383106060606064
2025-01-28 03:00:00;0;0.6929866412213741;53.576183206106904;8.128702290076335;21.086259541984724
2025-01-28 05:00:00;28.06459999999999;0.698921783625731;52.131666666666675;7.935730994152051;20.697748538011712
2025-01-28 07:00:00;58.603227848101156;0.705371300211411;49.375116279069765;8.456342494714576;21.349238900634248
2025-01-28 09:00:00;68.51334736842102;0.7022679324894469;47.53088607594938;8.271265822784814;21.385886075949365
2025-01-28 11:00:00;101.38284518828442;0.7002751572327013;48.172851153039815;7.8502096436058695;23.404800838574417
2025-01-28 13:00:00;96.93300000000028;0.7150065104166696;44.44768750000003;8.252624999999998;23.92458333333331
2025-01-28 15:00:00;42.262416666666645;0.7188151041666688;39.3421875;8.40362499999999;22.624291666666657
2025-01-28 17:00:00;0;0.7238016917293234;40.53187969924814;7.88375939849624;20.875864661654134
2025-01-28 19:00:00;0;0.7343749999999988;40.8648484848485;8.189166666666665;20.1415909090909
2025-01-28 21:00:00;0;0.7375469924812023;39.48947368421052;8.252932330827068;19.755187969924812
2025-01-28 23:00:00;0;0.7499999999999981;40.15669117647059;8.172058823529412;19.464632352941177
2025-01-29 01:00:00;0;0.7578703703703719;41.189407407407394;8.325555555555553;19.206444444444447
2025-01-29 03:00:00;0;0.7656250000000009;41.972255639097725;8.118421052631575;18.836090225563915
2025-01-29 05:00:00;3.7779052369077273;0.7732568641618512;43.20416184971098;8.377716763005793;18.545404624277438
2025-01-29 07:00:00;2842.450549682872;1.8552039194915226;44.02154661016951;8.978919491525426;18.63934322033897
2025-01-29 09:00:00;26.00821428571427;3.3202796743697487;43.54424369747901;10.182647058823523;18.284747899159655
2025-01-29 11:00:00;66.95809623430962;3.738134152719677;42.30228033472805;9.988451882845201;20.26610878661089
2025-01-29 13:00:00;51.34218750000003;3.8472981770833456;42.29516666666664;8.958541666666667;18.46699999999999
2025-01-29 15:00:00;2.4941032608695655;3.9796125856164424;42.011198630136974;8.753493150684927;16.6595890410959
2025-01-29 17:00:00;0;4.105410447761191;43.67380597014925;9.424477611940299;15.691641791044779
2025-01-29 19:00:00;0;4.145872201492538;44.093283582089555;8.348731343283584;15.17865671641791
2025-01-29 21:00:00;0;4.163362873134328;42.969701492537304;9.087388059701494;14.751119402985074
2025-01-29 23:00:00;0;4.324248120300749;42.80526315789473;9.186541353383456;14.369323308270667
2025-01-30 01:00:00;0;4.354894301470585;41.798970588235306;8.134632352941173;15.061029411764693
